severity,source_file,company,metric,period,detail
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,arr,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,gross_margin,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,headcount,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,net_burn,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,net_revenue_retention,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,revenue,Q2 2025,"reported in 2 sources ['CarbonTrack_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept CarbonTrack_Q2_2025.pdf"
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,arr,Q2 2025,snapshot and standalone report agree
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,gross_margin,Q2 2025,snapshot and standalone report agree
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,headcount,Q2 2025,snapshot and standalone report agree
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,net_revenue_retention,Q2 2025,snapshot and standalone report agree
info,CarbonTrack_Q2_2025.pdf,CarbonTrack,revenue,Q2 2025,snapshot and standalone report agree
info,MediSight_Q2_2025.pdf,MediSight,arr,Q2 2025,"reported in 2 sources ['MediSight_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept MediSight_Q2_2025.pdf"
info,MediSight_Q2_2025.pdf,MediSight,gross_margin,Q2 2025,"reported in 2 sources ['MediSight_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept MediSight_Q2_2025.pdf"
info,MediSight_Q2_2025.pdf,MediSight,headcount,Q2 2025,"reported in 2 sources ['MediSight_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept MediSight_Q2_2025.pdf"
info,MediSight_Q2_2025.pdf,MediSight,revenue,Q2 2025,"reported in 2 sources ['MediSight_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept MediSight_Q2_2025.pdf"
info,MediSight_Q2_2025.pdf,MediSight,arr,Q2 2025,snapshot and standalone report agree
info,MediSight_Q2_2025.pdf,MediSight,gross_margin,Q2 2025,snapshot and standalone report agree
info,MediSight_Q2_2025.pdf,MediSight,headcount,Q2 2025,snapshot and standalone report agree
info,MediSight_Q2_2025.pdf,MediSight,revenue,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,arr,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,cash,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,gross_margin,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,headcount,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,logo_churn,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,net_revenue_retention,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,revenue,Q2 2025,"reported in 2 sources ['NovaCloud_Q2_2025.pdf', 'Portfolio_Snapshot_Q2_2025.pdf']; precedence kept NovaCloud_Q2_2025.pdf"
info,NovaCloud_Q2_2025.pdf,NovaCloud,arr,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,cash,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,gross_margin,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,headcount,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,logo_churn,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,net_revenue_retention,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q2_2025.pdf,NovaCloud,revenue,Q2 2025,snapshot and standalone report agree
info,NovaCloud_Q3_2024.pdf,NovaCloud,revenue,Q3 2024,"same value restated under multiple labels/locations; kept one: ['Recognized Revenue (USD)', 'Recognized Revenue']"
info,PeopleFlow_Q1_2025.pdf,PeopleFlow,gross_margin,Q1 2025,"reported in 2 sources ['PeopleFlow_Q1_2025.pdf', 'PeopleFlow_Q2_2025.pdf']; precedence kept PeopleFlow_Q2_2025.pdf"
info,PeopleFlow_Q1_2025.pdf,PeopleFlow,revenue,Q1 2025,"reported in 2 sources ['PeopleFlow_Q1_2025.pdf', 'PeopleFlow_Q2_2025.pdf']; precedence kept PeopleFlow_Q2_2025.pdf"
info,PeopleFlow_Q2_2025.pdf,PeopleFlow,arr,Q2 2025,"same value restated under multiple labels/locations; kept one: ['Subscription ARR (end of period)', 'Subscription ARR']"
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,arr,Q2 2025,"reported in 2 sources ['Portfolio_Snapshot_Q2_2025.pdf', 'TalentVault_Q2_2025.pdf']; precedence kept TalentVault_Q2_2025.pdf"
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,gross_margin,Q2 2025,"reported in 2 sources ['Portfolio_Snapshot_Q2_2025.pdf', 'TalentVault_Q2_2025.pdf']; precedence kept TalentVault_Q2_2025.pdf"
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,net_revenue_retention,Q2 2025,"reported in 2 sources ['Portfolio_Snapshot_Q2_2025.pdf', 'TalentVault_Q2_2025.pdf']; precedence kept TalentVault_Q2_2025.pdf"
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,revenue,Q2 2025,"reported in 2 sources ['Portfolio_Snapshot_Q2_2025.pdf', 'TalentVault_Q2_2025.pdf']; precedence kept TalentVault_Q2_2025.pdf"
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,arr,Q2 2025,snapshot and standalone report agree
